loss,actor_loss,critic_loss,mean_entropy,mean_reward,mean_value,mean_returns,mean_advantage,gradient_norm
-0.1198,-0.1195,0.0279,1.4275,0.2798,1.1194,1.1265,0.0728,0.7853
-0.0657,-0.0649,0.0258,1.3593,0.2335,1.1859,1.1665,-0.0028,0.8971
-0.1706,-0.1641,0.0124,1.2683,0.2808,1.1717,1.1975,0.1348,0.5731
-0.0736,-0.0659,0.0127,1.4094,0.3533,1.2740,1.2654,0.0407,1.4559
-0.1135,-0.1221,0.0448,1.3858,0.2737,1.1493,1.2159,0.0644,1.0174
-0.1704,-0.1917,0.0682,1.2743,0.3647,1.1645,1.3044,0.1638,1.4025
0.0327,0.0234,0.0445,1.2970,0.2535,1.2031,1.1274,-0.1148,1.2030
-0.0995,-0.0961,0.0209,1.3899,0.2914,1.0868,1.1480,0.0260,1.0809
-0.0266,-0.0338,0.0429,1.4233,0.2568,0.9620,0.9264,-0.0197,1.2442
-0.0384,-0.0378,0.0240,1.2593,0.3303,1.2315,1.2650,-0.0005,1.1243
-0.0657,-0.0566,0.0080,1.3110,0.3065,1.2656,1.2763,0.0067,1.3895
0.1355,0.1417,0.0123,1.2293,0.3603,1.2391,1.1737,-0.1859,1.6393
-0.1518,-0.1534,0.0273,1.2047,0.2593,1.1298,1.1463,0.0652,1.3146
-0.0651,-0.0709,0.0337,1.1071,0.2727,1.0791,1.0537,0.0206,1.3607
-0.0568,-0.0514,0.0091,0.9893,0.2831,1.2410,1.2247,0.0015,1.3231
-0.0500,-0.0475,0.0136,0.9327,0.3416,1.2905,1.2302,-0.0081,1.3391
-0.1060,-0.1028,0.0171,1.1788,0.3014,1.1808,1.2076,0.0573,0.9632
-0.0398,-0.0439,0.0312,1.1411,0.2658,1.1644,1.1649,-0.0103,1.9381
-0.0895,-0.0833,0.0108,1.1575,0.2541,1.1344,1.1431,0.0884,1.9669
-0.0404,-0.0454,0.0279,0.8900,0.2979,1.1184,1.1383,-0.0100,1.4516
-0.0648,-0.0679,0.0231,0.8478,0.3386,1.1788,1.1888,0.0280,0.5192
-0.0409,-0.0462,0.0277,0.8538,0.3094,1.0848,1.1168,0.0152,0.4780
0.0479,0.0537,0.0104,1.1027,0.1998,1.1845,1.1465,-0.0891,5.2529
-0.0428,-0.0471,0.0274,0.9370,0.2690,1.2804,1.1931,0.0188,0.9802
-0.1029,-0.1046,0.0242,1.0400,0.2664,1.0858,1.1068,0.0624,1.3205
-0.0696,-0.0773,0.0396,1.2028,0.2928,1.1610,1.1679,0.0254,1.1445
0.0318,0.0032,0.0815,1.2185,0.2414,1.1132,1.0650,-0.0711,1.0738
-0.0608,-0.0789,0.0573,1.0540,0.2788,1.1267,1.2121,0.0706,7.3162
-0.0180,-0.0422,0.0704,1.1057,0.2758,1.1132,1.1312,0.0215,0.5682
-0.0216,-0.0169,0.0241,1.6713,0.2700,0.9987,1.0239,-0.0368,2.0045
-0.0338,-0.0394,0.0331,1.0935,0.2821,1.0713,1.1245,-0.0263,1.2170
0.0399,0.0458,0.0080,0.9840,0.3235,1.2241,1.2414,-0.1189,0.7662
-0.0987,-0.0904,0.0067,1.1701,0.2644,1.2047,1.2399,0.0386,1.2954
-0.0457,-0.0396,0.0133,1.2781,0.2901,1.1468,1.1607,-0.0287,1.0420
-0.0125,-0.0075,0.0113,1.0591,0.3057,1.1869,1.1796,-0.0445,2.0188
-0.1553,-0.1641,0.0395,1.0968,0.2839,1.1118,1.1398,0.0912,1.8018
-0.1353,-0.1343,0.0202,1.1066,0.3389,1.2647,1.2983,0.0668,0.6534
-0.0274,-0.0237,0.0173,1.2358,0.2621,1.1767,1.1532,-0.0315,1.1043
-0.0840,-0.0896,0.0369,1.2821,0.2841,1.0142,1.0988,0.0194,0.9458
-0.1108,-0.1141,0.0315,1.2444,0.2759,1.1538,1.1905,0.0731,1.7184
-0.1299,-0.1298,0.0211,1.0633,0.3152,1.1769,1.1861,0.0573,0.6177
-0.1699,-0.1610,0.0063,1.2010,0.3307,1.1625,1.1838,0.1118,1.4091
-0.0611,-0.0675,0.0322,0.9727,0.3074,1.2119,1.2346,-0.0201,0.4560
