loss,actor_loss,critic_loss,mean_entropy,mean_reward,mean_value,mean_returns,mean_advantage,gradient_norm
-0.1532,-0.1454,0.0157,1.5652,0.3019,1.2044,1.2092,0.0713,1.9768
-0.0252,-0.0350,0.0539,1.7065,0.2593,1.0785,1.0470,-0.0401,0.6349
-0.1197,-0.1282,0.0485,1.5731,0.2894,1.1854,1.1922,0.0493,1.1564
0.0044,-0.0047,0.0512,1.6496,0.2663,1.2370,1.1317,-0.0776,1.2107
-0.0105,-0.0208,0.0532,1.6385,0.2340,1.0039,1.0010,-0.0495,1.4250
-0.0024,0.0000,0.0229,1.3838,0.2675,1.1140,1.1447,-0.0735,0.7438
-0.2113,-0.2063,0.0194,1.4665,0.2914,1.0942,1.1463,0.1533,1.4817
-0.0316,-0.0216,0.0077,1.3882,0.3035,1.2797,1.2484,-0.0430,2.2413
-0.0727,-0.0629,0.0059,1.2764,0.2405,1.2532,1.2587,-0.0108,1.3530
-0.0625,-0.0585,0.0180,1.2993,0.2942,1.1726,1.1846,0.0001,2.6317
-0.0287,-0.0215,0.0162,1.5335,0.2443,1.1705,1.1109,-0.0737,0.8967
-0.1148,-0.1218,0.0407,1.3273,0.3112,1.0674,1.0839,0.0429,1.6459
-0.0724,-0.0622,0.0087,1.4569,0.2804,1.2342,1.2380,-0.0158,1.9855
0.0784,0.0867,0.0126,1.4628,0.2214,1.0961,1.1157,-0.1625,2.1829
-0.1340,-0.1227,0.0071,1.4849,0.2818,1.2643,1.2446,0.0502,2.8396
-0.0341,-0.0331,0.0278,1.4940,0.3029,1.2119,1.1902,-0.0266,1.2066
0.0279,0.0372,0.0078,1.3151,0.2794,1.1652,1.1700,-0.1280,1.6049
-0.0900,-0.0861,0.0159,1.1871,0.2831,1.1601,1.1543,0.0101,1.3197
-0.0798,-0.0703,0.0085,1.3740,0.2905,1.1369,1.1519,-0.0103,1.0412
-0.0598,-0.0532,0.0093,1.1248,0.3296,1.3438,1.3231,-0.0034,3.0409
-0.1196,-0.1118,0.0061,1.0782,0.3691,1.2944,1.2977,0.0476,1.8923
-0.0059,0.0021,0.0089,1.2500,0.3122,1.2048,1.2336,-0.0671,1.3610
-0.0850,-0.0811,0.0155,1.1671,0.2939,1.1452,1.1441,0.0090,1.1967
-0.0215,-0.0294,0.0346,0.9387,0.3500,1.1858,1.1699,-0.0332,1.4614
0.0223,0.0153,0.0373,1.1717,0.2918,1.2954,1.2403,-0.0559,1.6429
-0.1113,-0.1293,0.0560,1.0014,0.2926,1.2068,1.1586,0.0614,1.0881
-0.1197,-0.1226,0.0252,0.9677,0.3088,1.1710,1.2009,0.0431,1.0022
-0.0254,-0.0285,0.0250,0.9345,0.3035,1.1260,1.1316,-0.0316,0.9520
-0.0196,-0.0134,0.0091,1.0759,0.2648,1.1539,1.1598,-0.0696,1.1448
-0.0181,-0.0248,0.0334,1.0018,0.2383,1.1538,1.1003,-0.0478,0.8684
-0.0798,-0.0901,0.0369,0.8223,0.2354,1.0609,0.9835,0.0334,1.2236
-0.0847,-0.1099,0.0711,1.0387,0.2381,1.0369,0.9924,0.0417,1.0600
0.1722,0.1395,0.0824,0.8491,0.2618,1.0087,0.9178,-0.2015,0.8600
-0.0589,-0.0512,0.0086,1.2006,0.2738,1.2479,1.2450,-0.0437,1.6669
-0.0050,-0.0272,0.0638,0.9768,0.2260,1.0926,1.0040,-0.0543,1.1362
0.0323,-0.0164,0.1138,0.8300,0.2294,0.8084,0.8261,-0.0432,0.9115
-0.0749,-0.0921,0.0621,1.3884,0.2802,1.1926,1.1730,0.0363,1.0734
-0.0602,-0.0896,0.0782,0.9777,0.3054,0.9833,0.9992,0.0281,1.5150
0.0930,0.0630,0.0836,1.1788,0.3081,1.0844,1.0311,-0.1317,1.6371
0.0261,-0.0280,0.1308,1.1299,0.2838,1.0589,1.1007,-0.0319,0.6873
-0.0289,-0.0260,0.0174,1.1654,0.2661,1.1164,1.0653,-0.0812,2.7594
